| Contract                                | Size (kB) | Margin (kB) |
|-----------------------------------------|-----------|-------------|
| Address                                 | 0.086     | 24.49       |
| AddressArrayUtils                       | 0.086     | 24.49       |
| Ballot                                  | 0.086     | 24.49       |
| BridgeOperatorsBallot                   | 0.166     | 24.41       |
| BridgeReward                            | 6.031     | 18.545      |
| BridgeSlash                             | 5.635     | 18.941      |
| BridgeTracking                          | 6.873     | 17.703      |
| ChainId                                 | 0.206     | 24.37       |
| ECDSA                                   | 0.086     | 24.49       |
| ERC1967Proxy                            | 0.177     | 24.399      |
| ERC20                                   | 2.172     | 22.404      |
| ERC20PresetMinterPauser                 | 6.368     | 18.208      |
| EmergencyExitBallot                     | 0.086     | 24.49       |
| EnumFlags                               | 0.086     | 24.49       |
| EnumerableSet                           | 0.086     | 24.49       |
| ErrorHandler                            | 0.086     | 24.49       |
| FastFinalityTracking                    | 2.154     | 22.422      |
| Forwarder                               | 3.521     | 21.055      |
| GeneralConfig                           | 6.418     | 18.158      |
| GlobalProposal                          | 0.166     | 24.41       |
| HasBridgeDeprecated                     | 0.063     | 24.513      |
| HasBridgeTrackingDeprecated             | 0.063     | 24.513      |
| HasGovernanceAdminDeprecated            | 0.063     | 24.513      |
| HasMaintenanceDeprecated                | 0.063     | 24.513      |
| HasSlashIndicatorDeprecated             | 0.063     | 24.513      |
| HasStakingDeprecated                    | 0.063     | 24.513      |
| HasStakingVestingDeprecated             | 0.063     | 24.513      |
| HasTrustedOrgDeprecated                 | 0.063     | 24.513      |
| HasValidatorDeprecated                  | 0.063     | 24.513      |
| IsolatedGovernance                      | 0.086     | 24.49       |
| JSONParserLib                           | 0.086     | 24.49       |
| LibArrayUtils                           | 0.086     | 24.49       |
| LibString                               | 0.086     | 24.49       |
| LibTUint256Slot                         | 0.086     | 24.49       |
| LogGenerator                            | 8.322     | 16.254      |
| MainchainBridgeManager                  | 19.332    | 5.244       |
| MainchainGatewayV3                      | 18.187    | 6.389       |
| Maintenance                             | 5.488     | 19.088      |
| Math                                    | 0.086     | 24.49       |
| MockActor                               | 0.275     | 24.301      |
| MockBridge                              | 1.303     | 23.273      |
| MockBridgeManager                       | 1.247     | 23.329      |
| MockBridgeReward                        | 6.77      | 17.806      |
| MockBridgeSlash                         | 1.447     | 23.129      |
| MockBridgeTracking                      | 1.969     | 22.607      |
| MockConditionalImplementControl         | 3.198     | 21.378      |
| MockForwarderTarget                     | 1.343     | 23.233      |
| MockGatewayForTracking                  | 1.662     | 22.914      |
| MockLogicV1                             | 0.453     | 24.123      |
| MockLogicV2                             | 0.453     | 24.123      |
| MockLogicValidatorSetV1                 | 0.496     | 24.08       |
| MockLogicValidatorSetV2                 | 0.496     | 24.08       |
| MockPCUPickValidatorSet                 | 1.276     | 23.3        |
| MockPCUSortValidators                   | 1.04      | 23.536      |
| MockPCUValidateDoubleSign               | 0.859     | 23.717      |
| MockPCUValidateFastFinality             | 1.692     | 22.884      |
| MockPaymentFallback                     | 0.122     | 24.454      |
| MockPaymentFallbackExpensive            | 0.302     | 24.274      |
| MockPrecompile                          | 4.151     | 20.425      |
| MockRoninBridgeManager                  | 24.579    | -0.003      |
| MockRoninGatewayV3Extended              | 20.038    | 4.538       |
| MockRoninValidatorSetExtended           | 24.536    | 0.04        |
| MockRoninValidatorSetOverridePrecompile | 23.714    | 0.862       |
| MockSlashIndicatorExtended              | 16.814    | 7.762       |
| MockSorting                             | 3.103     | 21.473      |
| MockStaking                             | 4.627     | 19.949      |
| MockTUint256Slot                        | 2.729     | 21.847      |
| MockTransfer                            | 0.403     | 24.173      |
| MockValidatorContract                   | 0.172     | 24.404      |
| MockValidatorSet                        | 0.172     | 24.404      |
| NotifiedMigrator                        | 2.97      | 21.606      |
| PRBMathUtils                            | 0.063     | 24.513      |
| PauseEnforcer                           | 4.548     | 20.028      |
| Profile                                 | 5.217     | 19.359      |
| Proposal                                | 0.166     | 24.41       |
| ProxyAdmin                              | 1.683     | 22.893      |
| RoninBridgeManager                      | 24.579    | -0.003      |
| RoninGatewayV3                          | 19.755    | 4.821       |
| RoninGovernanceAdmin                    | 14.818    | 9.758       |
| RoninTrustedOrganization                | 7.855     | 16.721      |
| RoninValidatorSet                       | 20.114    | 4.462       |
| RoninValidatorSetTimedMigrator          | 3.673     | 20.903      |
| SlashIndicator                          | 13.303    | 11.273      |
| Sorting                                 | 0.086     | 24.49       |
| Staking                                 | 14.776    | 9.8         |
| StakingVesting                          | 3.134     | 21.442      |
| StdStyle                                | 0.086     | 24.49       |
| StorageSlot                             | 0.086     | 24.49       |
| Strings                                 | 0.086     | 24.49       |
| Token                                   | 0.214     | 24.362      |
| Transfer                                | 0.166     | 24.41       |
| TransparentUpgradeableProxy             | 2.068     | 22.508      |
| TransparentUpgradeableProxyV2           | 2.361     | 22.215      |
| TransparentUpgradeableProxyV3           | 2.361     | 22.215      |
| VaultForwarder                          | 3.859     | 20.717      |
| console                                 | 0.086     | 24.49       |
| console2                                | 0.086     | 24.49       |
| safeconsole                             | 0.086     | 24.49       |
| stdError                                | 0.591     | 23.985      |
| stdJson                                 | 0.086     | 24.49       |
| stdMath                                 | 0.086     | 24.49       |
| stdStorage                              | 0.086     | 24.49       |
| stdStorageSafe                          | 0.086     | 24.49       |

